Year,Prosecutors,"Clerical, Paralegal, and Admin.",Victim/Witness Staff,Investigators/Officers,Other,Total Staff,"Percent of staff in clerical, paralegal, or general support positions"
2017,7,6,3,1,1,18,33.33333333
2018,7,6,3,2,1,19,31.57894737
2019,7,3,3,2,2,17,17.64705882
2020,7,5,3,2,3,20,25
2021,8,8,3,2,3,24,33.33333333
2022,5,6,3,1,3,18,33.33333333
2023,7,7,3,1,2,20,35
2024,7,5,3,2,2,19,26.31578947
