Filing Quarter,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2020 Q1,36.6667,32.1429
2020 Q2,28.6429,32.2
2020 Q3,33.75,22
2020 Q4,39.7857,21.2
2021 Q1,65.8462,29
2021 Q2,46.2,37.1667
2021 Q3,48.7857,36
2021 Q4,40.9286,34.3333
2022 Q1,41.0714,30.4615
2022 Q2,38.4545,29.75
2022 Q3,32.6923,16.8571
2022 Q4,45.9231,16.6154
2023 Q1,49.3,19
2023 Q2,42.25,21.9091
2023 Q3,55.1,26.75
2023 Q4,68.1111,24.25
2024 Q1,67,27.375
2024 Q2,93.1667,27.7143
2024 Q3,86.7143,39.1667
2024 Q4,116,43.8
2025 Q1,120,66.2
2025 Q2,112.8,112.25
2025 Q3,98.1667,87.2
2025 Q4,91.2,71.6
