Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,24.6667,20.4
2017 Q2,24.3,17.0
2017 Q3,31.1,21.4286
2017 Q4,21.3333,14.8182
2018 Q1,21.3,19.0
2018 Q2,25.875,22.5556
2018 Q3,19.7778,13.4
2018 Q4,24.3333,10.25
2019 Q1,24.3,10.1667
2019 Q2,24.625,26.75
2019 Q3,27.0,16.5714
2019 Q4,23.2857,13.0
2020 Q1,22.4286,21.5714
2020 Q2,25.3333,18.8571
2020 Q3,23.8333,12.875
2020 Q4,25.8,15.2
2021 Q1,21.6667,20.8
2021 Q2,24.5,22.5714
2021 Q3,23.375,18.0
2021 Q4,25.2,23.1111
2022 Q1,38.0,30.0
2022 Q2,31.4,28.8333
2022 Q3,34.6667,44.25
2022 Q4,49.6667,26.25
