Filing Quarter,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2017 Q1,64.8,21.2222
2017 Q2,49.3333,24.625
2017 Q3,44.8462,34.5556
2017 Q4,39.8333,32.2
2018 Q1,48.0,28.0
2018 Q2,54.1,51.7
2018 Q3,66.125,90.25
2018 Q4,57.125,23.5
2019 Q1,58.7778,40.6667
2019 Q2,47.9,91.6667
2019 Q3,42.4545,35.6667
2019 Q4,38.6923,26.375
2020 Q1,45.0,36.0
2020 Q2,37.3636,38.75
2020 Q3,42.6154,28.6667
2020 Q4,47.75,22.6667
2021 Q1,80.0,26.9
2021 Q2,63.6364,41.3
2021 Q3,59.0833,38.5556
2021 Q4,53.7273,41.2
2022 Q1,54.3636,35.3636
2022 Q2,49.2222,31.6364
2022 Q3,62.0,22.3333
2022 Q4,101.5,21.0
